algorithm,scenario,model,method,train_seed,unlearn_seed,ndcg
1,data_poison,Navigational,pga,1,102,0.5420520001090613
1,data_poison,Navigational,pga,1,103,0.5381734516109798
1,data_poison,Navigational,pga,1,104,0.5380992699351937
1,data_poison,Navigational,pga,1,105,0.5340409193491131
1,data_poison,Navigational,pga,1,106,0.5310257447430056
1,data_poison,Navigational,pga,1,107,0.5392392630329825
1,data_poison,Navigational,pga,1,108,0.5328791479607812
1,data_poison,Navigational,pga,1,109,0.5360543430625697
1,data_poison,Informational,retrain,1,100,0.5294626861991726
1,data_poison,Informational,retrain,1,101,0.5158888155771503
1,data_poison,Informational,retrain,1,102,0.5267466872739875
1,data_poison,Informational,retrain,1,103,0.5244425311200924
1,data_poison,Informational,retrain,1,104,0.5345809493327119
1,data_poison,Informational,retrain,1,105,0.5286178035013047
1,data_poison,Informational,retrain,1,106,0.5186322305064359
1,data_poison,Informational,retrain,1,107,0.5233756700984757
1,data_poison,Informational,retrain,1,108,0.5363515363653355
1,data_poison,Informational,retrain,1,109,0.524213134539588
1,data_poison,Informational,FedRemove,1,100,0.17479661729629373
1,data_poison,Informational,FedRemove,1,101,0.17479661729629373
1,data_poison,Informational,FedRemove,1,102,0.17479661729629373
1,data_poison,Informational,FedRemove,1,103,0.17479661729629373
1,data_poison,Informational,FedRemove,1,104,0.17479661729629373
1,data_poison,Informational,FedRemove,1,105,0.17479661729629373
1,data_poison,Informational,FedRemove,1,106,0.17479661729629373
1,data_poison,Informational,FedRemove,1,107,0.17479661729629373
1,data_poison,Informational,FedRemove,1,108,0.17479661729629373
1,data_poison,Informational,FedRemove,1,109,0.17479661729629373
1,data_poison,Informational,fedEraser,1,100,0.52931093319217
1,data_poison,Informational,fedEraser,1,101,0.5340989650618154
1,data_poison,Informational,fedEraser,1,102,0.5258217011824478
1,data_poison,Informational,fedEraser,1,103,0.5209179687344838
1,data_poison,Informational,fedEraser,1,104,0.5331226402037504
1,data_poison,Informational,fedEraser,1,105,0.5310425034948542
1,data_poison,Informational,fedEraser,1,106,0.531096868755553
1,data_poison,Informational,fedEraser,1,107,0.5209698413049972
1,data_poison,Informational,fedEraser,1,108,0.5304210613783462
1,data_poison,Informational,fedEraser,1,109,0.5364314926877394
1,data_poison,Informational,fineTuning,1,100,0.5361095498240713
1,data_poison,Informational,fineTuning,1,101,0.5371881439929005
1,data_poison,Informational,fineTuning,1,102,0.5319724643857121
